Name,URL,Organisation,Description,Location,Latitude,Longitude
Bologna Data Portal,http://dati.comune.bologna.it/,City Of Bologna,"Official open data portal for the City of Bologna, Italy. Launched April 2012, with 64 datasets (out of 500 planned, 200 by end of 2012)","44.4938114812,11.3387489319",44.4938114812,11.3387489319
Boston Gis Data Hub,http://hubmaps1.cityofboston.gov/datahub/,City Of Boston,,"42.3584308,-71.0597732",42.3584308,-71.0597732
Bouche-rhone / Provence Data Portal,http://data.visitprovence.com/,Departement Bouche-rhone,"Launched April 2012. Tourism oriented data sets only.

Two days after launch license was changed from not-open (NC/ND) to ODbL.",",,",,
Buenos Aires Data,http://data.buenosaires.gob.ar/,Gobierno De La Ciudad Autónoma De Buenos Aires,"Open Data released by the City of Buenos Aires, Argentina.","-34.6131488101,-58.3772277832",-34.6131488101,-58.3772277832
"Burlington, Ontario",http://cms.burlington.ca/page7429.aspx,City Of Burlington,You may send [feedback](mailto:its@burlington.ca). Adapted the [Vancouver license](http://cms.burlington.ca/AssetFactory.aspx?did=18762).,"43.386208342,-79.83713012",43.386208342,-79.83713012
California Climate Commons,http://climate.calcommons.org/lists/datasets,California Climate Commons,"Searchable catalog of climate data hosted at California Climate Commons Commons and elsewhere.
","37.2502247,-119.7512643",37.2502247,-119.7512643
California,http://www.data.ca.gov,State Of California,"Access raw State data files, databases, geographic data, and other data sources from the State of California","37.2502247,-119.7512643",37.2502247,-119.7512643
Balearic Islands Open Data,http://www.caib.es/caibdatafront/,Balearic Islands Regional Government,Balearic Islands Open Data Catalog,"39.3546088038,3.12906503677",39.3546088038,3.12906503677
"Calgary, Alberta",http://calgaryonlinestore.com/publicdata.asp,City Of Calgary,Uses its [own license](http://calgaryonlinestore.com/support/term.asp). See the [ideas forum](http://cityofcalgary.uservoice.com/).,"51.050112282,-114.085285152",51.050112282,-114.085285152
Linked Open Camera,http://www.linkedopencamera.it/index.php/i-dati,,Data about public administration expenses 2010,"42.8333333,12.8333333",42.8333333,12.8333333
"Honolulu, Hawaii",http://can-do.honolulu.gov/,"Honolulu County, Hawaii","CAN-DO Honolulu. Citizens Analyzing Numbers Discover Opportunity

The City & County of Honolulu’s goal is to provide the public with an unprecedented amount of access to information previously unavailable from prior administrations.  This is part of a national trend in government towards “transparency.”  Can-Do Honolulu will serve the people of Honolulu as an indispensable conduit to their government. ","21.3069444,-157.8583333",21.3069444,-157.8583333
Italian Chamber Of Deputies,http://dati.camera.it/it/,Italian Chamber Of Deputies,"The history, activities, mechanisms of functioning of the Chamber of Deputies. Available free to reuse. 
","42.8333333,12.8333333",42.8333333,12.8333333
Datos.gob.cl,http://www.data.gov.cl/,Gobierno De Chile (chile Government),"Official Chile government open data site.

From the beta welcome message:

Welcome to datos.gob

This beta version of the site has been developed as part of our Open Government policies designed to promote a more transparent and participatory state.

Currently the site contains a limited set of datasets available under Creative Commons. We are working on the publication of progressively more data in open formats, so your comments and suggestions are vital to help us improve this platform and bring it to more users.","-33.3587068216,-69.7702217102",-33.3587068216,-69.7702217102
Chile Library Of Congress Linked Data,http://datos.bcn.cl/,Library Of Congress Of Chile,Chile Library of Congress Linked Data,"-30,-71",-30,-71
Chile's Transparency Board Opendata,http://www.consejotransparencia.cl/consejo/site/edic/base/port/pcatalogo.html,,OpenData catalog by the Chile's Transparency Board,"-30,-71",-30,-71
Chinese Government Public Information Online,http://govinfo.nlc.gov.cn/,,Integration of the Chinese Government Public Information Service Platform,35105,35105,
"Chicago, Illinois",http://data.cityofchicago.org/,City Of Chicago,The City of Chicago’s Data Portal is dedicated to promoting access to government data and encouraging the development of creative tools to engage and serve Chicago's diverse community. Here you’ll find essential data presented in easy-to-use formats to help Chicagoans keep track of how their government is performing and build innovative applications to benefit residents and visitors alike.,"41.850033,-87.6500523",41.850033,-87.6500523
City Of Waterloo,http://opendata.waterloo.ca/,City Of Waterloo,City of Waterloo Open Data website.,"32.983333,49.133333",32.983333,49.133333
"Windsor, Ontario",http://www.citywindsor.ca/003713.asp,City Of Windsor,You may send [feedback](http://www.citywindsor.ca/003739.asp). Adapted the [Vancouver license](http://www.citywindsor.ca/DataCatalogue/PDF/OpenDataTermsofUse.pdf).,"42.300083644,-83.016543483",42.300083644,-83.016543483
Civic Apps For Greater Portland,http://www.civicapps.org/datasets,,"CivicApps Data Catalog, Portland (USA)","45.5234515,-122.6762071",45.5234515,-122.6762071
Ckan Brazil,http://br.ckan.net/,Open Knowledge Foundation,"Community driven open data portal for Brazil.

Runs on the [CKAN software](http://ckan.org/).

Coordinated by Augusto Herrmann.","-10,-55",-10,-55
Ckan Italia,http://it.ckan.net/,Okf Italia,"Open community catalogue for open data in Italy.

Runs on CKAN instance. Hosted by OKF Italia with Stefano Costa and Federico Morando.

Contact: see <http://it.okfn.org/about/>.","42.8333333,12.8333333",42.8333333,12.8333333
Ckan - Serbia,http://rs.ckan.net/,Mihajlo Pupin Institute Team,Serbian Government data. CKAN instance set-up as part of the LOD2 WP9 project by the Mihajlo Pupin Institute Team.,"44.8189246907,20.4599761963",44.8189246907,20.4599761963
Ckan Ireland,http://ie.ckan.net/,,A community-maintained data catalogue for Ireland.,"53,-8",53,-8
Colorado,http://www.colorado.gov/data/,State Of Colorado,"State of Colorado (official) Open Data Catalog

9 datasets (Jan 2012)","38.8338816,-104.8213634",38.8338816,-104.8213634
City Of Milan Open Data,http://dati.comune.milano.it/,Comune Di Milano,"Open Data portal of the City of Milan, Italy.","45.464269381,9.18950557709",45.464269381,9.18950557709
City Of Rome Open Data,http://dati.comune.roma.it/,Roma Capitale,"Open Data from the City of Rome, Italy.",",,",,
Conneticut Transparency Website,http://transparency.ct.gov/html/main.asp,The Office Of Fiscal Analysis (ofa),"This site was created in accordance with Public Act 10-155, An Act Requiring the Establishment of a Searchable Database for State Expenditures. This Public Act requires the Office of Fiscal Analysis to establish and maintain a website for the purpose of posting state agency expenditures, including contracts and grants.

The Office of Fiscal Analysis (OFA) is a nonpartisan office that supports the Connecticut General Assembly. To read more about us, please visit our website at <http://www.cga.ct.gov/ofa/>.",",,",,
Open Data Portal For Cook County Government,http://data.cookcountyil.gov/,Local Authority," * Courts
 * Economic Development
 * Finance and Accounting
 * Forest Preserves, Parks & Recreation
 * GIS / Maps
 * Healthcare
 * Public Safety 
 * Property & Taxation ","31.1668567,-83.4498836",31.1668567,-83.4498836
Open Data Córdoba,http://www.opendatacordoba.com,City Of Cordoba,City of Cordoba Open Data catalog,"37.8833333,-4.7666667",37.8833333,-4.7666667
Criik,http://www.criik.com/,Ciudadano Inteligente Www.ciudadanointeligente.org,,"-14.6048471551,-57.65625",-14.6048471551,-57.65625
Lacub Opendata Bordeaux,http://data.lacub.fr/,Communauté Urbaine De Bordeaux,"Open Data portal of the Urban Community of Bordeaux.

The Cub has a lot of data of interest to a wide audience, in the areas of transportation, travel, water, sanitation, housing, environment, etc.

The Cub has decided to provide free public data available to citizens, associations, businesses, researchers, so they can reuse them to create innovative digital services (mobile applications, information systems, web portals , etc.).",",,",,
Ckan Czech Republic,http://cz.ckan.net/,,Czech CKAN powered data catalogue.,"49.75,15",49.75,15
Dados.gov.br,http://dados.gov.br/,Brazilian Government,"Official Brazilian government data portal.

Development led by the Open Data Team (Augusto Herrmann, Christian Miranda, Nitai Bezerra) at the Ministry of Planning, Budget and Management. Uses CKAN with custom theme, plus Wordpress for the content areas.","-10,-55",-10,-55
"Novo Hamburgo, Rio Grande Do Sul, Brazil",http://dados.novohamburgo.rs.gov.br,Prefeitura Municipal De Novo Hamburgo,"Open Data portal of the Municipal Administration of the city of Novo Hamburgo, in the state of Rio Grande do Sul, in Brazil. Has official municipal datasets on budgets, income, spending, births and deaths, and more. Uses CKAN.","-29.67833333,-51.13055556",-29.67833333,-51.13055556
Portal De Dados Abertos Do Senado Federal (brazil),http://dadosabertos.senado.gov.br/,Senado Federal (brazil),Open Data Portal for the Brazilian Federal Senate. Uses CKAN.,"-10,-55",-10,-55
Dalian (china) Government Information,http://zwgk.dl.gov.cn/,,Dalian Municipal Government Information Service,"38.9122222,121.6022222",38.9122222,121.6022222
Data Portal Castilla Y León,http://www.datosabiertos.jcyl.es/,Junta De Castilla Y León,Regional data portal for Castilla y León in Spain. Launched March 2012,"42.6,-5.5666667",42.6,-5.5666667
Data.gv.at - Offene Daten Österreich,http://data.gv.at/,Federal Chancellery Of Austria,data.gv.at offers a central access point to open (government) data in Austria.,"47.3333333,13.3333333",47.3333333,13.3333333
Linz Open Data,http://data.linz.gv.at/,City Of Linz,Official data catalogue of the City of Linz in Austria and the Open Commons region Linz providing several data sets for re-use under cc-by license. The site runs OpenCms with CKAN as a back end; the catalogue is also exposed directly at http://ckan.data.linz.gv.at.,"48.3063888888,14.286111111",48.3063888888,14.286111111
British Columbia Local Government Open Data Catalogue,http://data.civicinfo.ca/,,"Aggregates open data form the Province of British Columbia, the City of Nanaimo, the District of North Cowichan, and the District of
Saanich.
[Adapted the UK Open Government License](http://www.data.civicinfo.ca/terms.htm).","53.999827295,-125.003201924",53.999827295,-125.003201924
Open Data Portal Galicia,http://abertos.xunta.es/portada,Xunta De Galicia,"Dataportal of the regional government of Galicia, Spain. Launched Feb 2012","42.7550795451,-7.8662109375",42.7550795451,-7.8662109375
Data.gouv.fr,http://www.data.gouv.fr/,Etalab,Official French National Data Catalogue.,"46,2",46,2
The Data Hub Suomi,http://fi.thedatahub.org/,Okf Finland / Henri Ahti,Open Data portal for Finland,"64,26",64,26
Data.lincoln,http://data.lincoln.ac.uk/,University Of Lincoln,"Open data from the University of Lincoln, including course data, financial data, and organisational information.","53.2268340899,-0.537919055948",53.2268340899,-0.537919055948
Data.norge.no,http://data.norge.no/,Government Of Norway,"Norway's official government open data catalogue.

This supports the Norwegian [government's announcement](http://data.norge.no/blogg/2010/11/a-small-step-toward-more-open-data/) that to direct national agencies to publish data in machine-readable formats: 

> In an executive decision announced today the Norwegian Ministry of Government Administrasjon, Reform, and Church Affairs has instructed all national government agencies to publish data in machine readable formats. This applies to data (1) that is valuable to the society, (2) that can be reused, (3) that is not confidential or bound by other regulations prohibiting release, and (4) that is presumed to be inexpensive to publish.

Launched Dec 2010","62,10",62,10
Data Publica,http://www.data-publica.com/,Data Publica,"Repository of French data including public files found on the web, scraped data, and commercial data from private companies.

Contact: via <http://www.data-publica.com/content/contact-us/>.","46,2",46,2
Data.ukmin.lt,http://data.ukmin.lt/,,,"32.983333,49.133333",32.983333,49.133333
Australian Government Catalogue,http://data.gov.au,Department Of Finance And Deregulation,"Data.gov.au provides an easy way to find, access and reuse public datasets from the Australian Government and state and territory governments. The main purpose of the site is to encourage public access to and reuse of government data by providing it in useful formats and under open licences. ",-25135,-25135,
Canada,http://www.data.gc.ca/,Government Of Canada,"You may send [feedback](http://www.data.gc.ca/default.asp?lang=En&n=E028144D-1), [request datasets](http://www.data.gc.ca/default.asp?lang=En&n=8A4E1E4D-1) and subscribe to [dataset updates](http://www.data.gc.ca/default.asp?lang=En&SyndFeed=DCCE2653-4AEC-42B2-9D95-B61951852606). Uses its [own license](http://www.data.gc.ca/default.asp?lang=En&n=46D15882-1). See the [FAQ](http://www.data.gc.ca/default.asp?lang=En&n=C5DBADB8-1).","60.108670463,-113.642578125",60.108670463,-113.642578125
United States Federal Government,http://www.data.gov/catalog,,"The purpose of Data.gov is to increase public access to high value, machine readable datasets generated by the Executive Branch of the Federal Government.","39.76,-98.5",39.76,-98.5
Data.gov.uk,http://data.gov.uk/data,Uk Government,"The UK Government's official open data catalogue.

Contact: via <http://data.gov.uk/contact>.","54.7584442358,-2.69531160593",54.7584442358,-2.69531160593
Data.one,http://www.gov.hk/en/theme/psi,,Data.One is the Hong Kong Government Open Data portal,"22.2855225818,114.157691002",22.2855225818,114.157691002
Queensland Government Data,http://data.qld.gov.au,Queensland Government,"Open data from the State government of Queensland, Australia",-20145,-20145,
Seattle,http://data.seattle.gov/,City Of Seattle,"The purpose of the City of Seattle Data Catalogue (data.seattle.gov) is to increase public access to high value, machine readable datasets generated by various departments of Seattle City government.","47.6062095,-122.3320708",47.6062095,-122.3320708
Victorian Government Data Directory,http://www.data.vic.gov.au,,data.vic.gov.au is your online access point to Victorian Government public sector information.,-37145,-37145,
Dataact (australian Capital Territory),https://data.act.gov.au/,Act Government Government Information Office,"dataACT is an open data service initiative for the ACT community that enables individuals, businesses, data journalists, NGOs and even other people in the public sector to access, explore and build upon existing government data sets in new and innovative ways.",-35.5149,-35.5149,
Datacatalogs.org,http://datacatalogs.org/,Open Knowledge Foundation Deutschland E.v.,DataCatalogs.org aims to be the most comprehensive list of open data catalogs in the world. It is curated by a group of open data experts from around the world.,",,",,
Datagm,http://www.datagm.org.uk,,"Greater Manchester Datastore

Official site for the Manchester borough councils, fire and police services.

Coordinated by Trafford Council in partnership with FutureEverything and OKF. Runs on CKAN with a custom theme.","53.4809464284,-2.23743438721",53.4809464284,-2.23743438721
Datagov.ru,http://datagov.ru/,Institute Of Contemporary Development - Института Современного Развития,"CKAN community site, Russia",60100,60100,
Datakilder.no,http://datakilder.no,Citizen-run Data Catalog,"A catalog of primarily Norwegian data sources, mostly but not exclusively government data. In Norwegian language. 

Also runs as no.ckan.net

Site maintainers: Olav Øvrebø / OKF","62,10",62,10
Datalocale Aquitaine,http://datalocale.fr,Conseil Général De La Gironde - Conseil Régional D'aquitaine,"Portail mutualisé de données locales offrant des services de mises à disposition de ressources, de référencement et d'hébergement de données publiques sur le territoire du Sud-Ouest de la France","44.5833333,1",44.5833333,1
Datasf,http://datasf.org,,DataSF is a clearinghouse of datasets available from the City and County of San Francisco,"37.7749295,-122.4194155",37.7749295,-122.4194155
Baden-württemberg Data Portal,http://opendata.service-bw.de/seiten/default.aspx,Landesregierung Baden-württemberg,"Launched March 2012, a Sharepoint based data portal, for the German federal state Baden-Württemberg.

The catalogue holds datasets under different OKD Compliant and OKD Non-Compliant Licenses.","48.7606022094,8.23974609375",48.7606022094,8.23974609375
Data Portal Bremen,http://www.daten.bremen.de/,Senatorin Für Finanzen Der Freien Hansestadt Bremen,"Official Data Catalogue of the German Federal State of Bremen was launched in June 2011. 

The catalogue holdes datasets under different OKD Compliant and OKD Non-Compliant Licenses.","53.0751556794,8.80777359009",53.0751556794,8.80777359009
Dati.emilia-romagna.it,http://dati.emilia-romagna.it/,Regione Emilia-romagna,Open data portal for Emilia-Romagna region in Italy.,"44.75,11",44.75,11
Dati.gov.it,http://dati.gov.it,Italian Ministry For Public Administration And Innovation,Italian open government data. National catalog of open data.,"42.8333333,12.8333333",42.8333333,12.8333333
Data Regione Lombardia,https://dati.lombardia.it/,Regional Government Of Lombardia,"The regional data portal for Lombardia, Italy. Creating using Socrata, launched March 2012.","45.6666667,9.5",45.6666667,9.5
Datos Abiertos De La Municipalidad Metropolitana De Lima,http://www.munlima.gob.pe/datos-abiertos.html,Metropolitan Municipality Of Lima,,"-12.0431818993,-77.0282363892",-12.0431818993,-77.0282363892
Datos.gub.uy - Catálogo De Datos Abiertos,https://catalogodatos.gub.uy/,State Of Uruguay,Official Data Catalog for Uruguay.,"-33,-56",-33,-56
Datosperu.org,http://www.datosperu.org/,,,"-10,-76",-10,-76
Datospublicos.org,http://datospublicos.org/,Http://garagelab.tumblr.com/,"DatosPublicos.org is a catalogue where users can share and register, and also search, access, download, reuse, and redistribute information published by state agencies directly or by others based on information they provide.

DatosPublicos.org es un catálogo a partir del cual los usuarios puedan compartir y referenciar, pero también buscar, acceder, descargar, reutilizar y redistribuir la información que los propios organismos del Estado, u otros agentes en base a la información proporcionada a aquellos, ponen a disposición del público.","-14.6048471551,-57.65625",-14.6048471551,-57.65625
District Of Columbia,http://data.octo.dc.gov,District Of Columbia,"Access raw data files, databases, geographic data, and other data sources from the District of Columbia","38.9170559,-77.0002539",38.9170559,-77.0002539
Denver Open Data Catalog,http://data.denvergov.org/,City And County Of Denver,"Official data portal for the City and County of Denver, Colorado, created in partnership with Open Colorado.","39.7391536,-104.9847034",39.7391536,-104.9847034
Danish Data Catalogue,http://data.digitaliser.dk,National It & Telecom Agency (ministry Of Science),Danish Public Data Catalogue,"56,10",56,10
"District Of North Vancouver, British Columbia",http://geoweb.dnv.org/data/,District Of North Vancouver,"GEOweb, the District of North Vancouver’s Open Data portal. Uses its [own license](http://geoweb.dnv.org/ancillary/site-legal.html).","49.249657393,-123.119340403",49.249657393,-123.119340403
Dublinked Datastore,http://www.dublinked.ie/datastore/index.php,Nui Maynooth,"Dublinked is a joint initiative of the local authorities of the Dublin Region and researchers from NUI Maynooth.

The project operates a data store, including a data catalog, focusing on Dublin City and the neighbouring counties of the Dublin Region.

Some of the data is open, other parts are member-only. There is a membership fee.","53.333056,-6.248889",53.333056,-6.248889
"Edmonton, Alberta",http://data.edmonton.ca/,City Of Edmonton,Uses Socrata. You may consult a [list of datasets to be released](https://docs.google.com/spreadsheet/ccc?key=0ApBkb2qCoC6MdGx6M0RkN256Qnh4Qjh6MWE4QmdDUGc#gid=0) or [contact the office of the CIO](mailto:opendata@edmonton.ca). Adapted the [Vancouver license](http://www.edmonton.ca/city_government/initiatives_innovation/open-data-terms-of-use.aspx).,"53.550135939,-113.468712219",53.550135939,-113.468712219
Dados Abertos Emap,http://ckan.emap.fgv.br,Fundação Getúlio Vargas,"Open data catalog from Brazilian Fundação Getúlio Vargas using CKAN.

Catálogo de dados abertos da Fundação Getúlio Vargas usando o CKAN.","-22.90277778,-43.2075",-22.90277778,-43.2075
Enel,http://data.enel.com,Enel,"Open data from the Italian power company Enel, including financial data and sustainability data.

Enel is Italy’s largest power company, and Europe’s second listed utility by installed capacity. It is an integrated player, active in the power and gas sectors. Enel today operates in 40 countries worldwide, has over 97,000 MW of net installed capacity and sells power and gas to more than 61 million customers.
","42.8333333,12.8333333",42.8333333,12.8333333
Esri Geoportal Server Open Source,http://gptogc.esri.com/geoportal,"Esri, Inc.",Free sample catalog built using the open source Esri Geoportal Server ([This link](http://esriurl.com/geoportalserver)).,",,",,
Open Data Euskadi,http://opendata.euskadi.net,Basque Government,"Open Data Euskadi.

-The open data catalog of the Basque Government (Spain). Since 2010, April.","43.3568885956,-3.01145553589",43.3568885956,-3.01145553589
European Open Data Inventory,http://ckan.net/tag/read/eutransparency,,"EU Transparency, CKAN (Open Knowledge Foundation). CKAN makes it easy to find, share and reuse open content and data.","48.6909603909,9.140625",48.6909603909,9.140625
Extremadura Reutiliza,http://www.extremadurareutiliza.es/,,"Open Data initiative in Extremadura, Spain. It has been shut down by regional government","39,-6",39,-6
Slovakia Data Catalogue,http://datanest.fair-play.sk/datasets,Aliancia Fair-play,Slovakia Public Data Catalogue,"48.6666667,19.5",48.6666667,19.5
Fingal Open Data,http://data.fingal.ie/,Fingal County Council,"Open Data portal of Fingal County Council, a local authority that governs suburban and rural areas north of the City of Dublin, Ireland. Data coverage includes excerpts from national statistics, locations of amenities, and councillor expenses. 74 datasets as of June 2011.","53.4590926195,-6.21942043304",53.4590926195,-6.21942043304
Open Data Finland,http://www.valtioneuvosto.fi/ajankohtaista/tiedotteet/tiedote/en.jsp?oid=322870,,Open Data initiative in Finland,"62.5,28",62.5,28
Data.gouv.fr,http://www.data.gouv.fr/,,,"46,2",46,2
"Fredericton, New Brunswick",http://www.fredericton.ca/en/citygovernment/datamain.asp,City Of Fredericton,You may send feedback via [email](mailto:opendata@fredericton.ca) or [webform](http://www.fredericton.ca/en/includes/email/emailattachment.aspx?id=524&ref=http://www.fredericton.ca/en/citygovernment/Catalogue.asp). Adapted the [Vancouver license](http://fredericton.icreate2.esolutionsgroup.ca/cityfredericton/en/citygovernment/TermsOfUse.asp).,"45.945414773,-66.665581601",45.945414773,-66.665581601
Catalonia Open Data Catalog,http://dadesobertes.gencat.cat,,Catalonia Open Data Catalog / Generalitat de Catalunya,"41.8204550961,1.86767578125",41.8204550961,1.86767578125
Geocommons,http://geocommons.com,Geoiq,"Online community of open geospatial data, visualizations and analysis.",",,",,
Geodata Vicenza,http://www.comune.vicenza.it/ente/settori/dipgenpers/sistinf/sit/daticartografici.php,Comune Di Vicenza,geodata of Vicenza city,"45.557294,11.540898",45.557294,11.540898
Public Open Data Greece,http://www.geodata.gov.gr/geodata/,Hellenic Mapping And Cadastre Organization,Greek government's open geospatial data catalog,"39,22",39,22
Georgia,http://www.open.georgia.gov/,State Of Georgia,Open Georgia,"32.7504171,-83.5001803",32.7504171,-83.5001803
Georgia Public Information Database,http://www.opendata.ge,Institute For Development Of Freedom Of Information,"Georgia Public Information Database -
On the web-site you can see the officially received public documents from the state authorities of Georgia in response to the submitted FoIA requests.  
the web-site was created by the Institute for Development of Freedom of Information - a non-for-profit, non-governmental organization operating in Georgia and focused on enhancing of openness of governmental agencies, Administrative transparency, access to public documents and development of e-Transparency, e-government in Georgia. 
For more information please see www.idfi.ge","41.999981,43.499905",41.999981,43.499905
Geospatial One-stop,http://www.geodata.gov,Us Geological Survey,"Federal catalog of geospatial resources available by US government (federal, state, local), academia, NGO, commercial, and other sources.","39.76,-98.5",39.76,-98.5
Ghdx - Global Health Data Exchange,http://ghdx.org,Institute For Health Metrics And Evaluation,"Catalog of the world's health and demographic data, maintained by the Institute for Health Metrics and Evaluation (IHME) at the University of Washington.",",,",,
Gijón Public Data Catalogue,http://datos.gijon.es,,City of Gijón Public Data Catalogue,"43.535731,-5.661519",43.535731,-5.661519
Opendata Locale Gironde-aquitaine,http://www.datalocale.fr/,Conseil Général De La Gironde,Mutualised OpenData store for France's departments of Gironde and region of Aquitaine,"44.9166667,-0.5",44.9166667,-0.5
Go-geo!,http://www.gogeo.ac.uk,"Edina, University Of Edinburgh","A catalog of public geospatial datasets with a focus on research reuse, maintained by EDINA.ac.uk on behalf of JISC.ac.uk","54.7584442358,-2.69531160593",54.7584442358,-2.69531160593
British Columbia (databc),http://www.data.gov.bc.ca/,Province Of British Columbia,You may send [feedback](https://extranet.gov.bc.ca/forms/dbc/contact/index.html) and [request datasets](https://extranet.gov.bc.ca/forms/dbc/contact/index.html). Adapted the UK [Open Government License](http://www.data.gov.bc.ca/dbc/admin/terms.page?).,"53.999827295,-125.003201924",53.999827295,-125.003201924
Governo Aberto Do Estado De São Paulo,http://www.governoaberto.sp.gov.br,Governo Do Estado De São Paulo,"Databases from the state of São Paulo, Brazil. They're in an open format and downloads, some webservices and APIs are available.

Bases de dados do Estado de Sao Paulo, Brasil, em formato aberto, com download, webservice e APIs.","-22,-49",-22,-49
"Grande Prairie No. 1, Alberta",http://data.countygp.ab.ca/,"County Of Grande Prairie No. 1, Alberta","Open Data released by the County of Grande Prairie No. 1, a municipal district in Alberta, Canada. You may send feedback [via e-mail](mailto:opendata@countygp.ab.ca). Adapts the [City of Toronto license](https://www.countygp.ab.ca/municipal/countygp/countygp-website.nsf/AllDoc/462C5D3B8363A1DE872579F00074012A?OpenDocument), which in turn is based upon the the UK Government's Open Government Licence for Public Sector Information.","55.272453751,-119.155534942",55.272453751,-119.155534942
Grand Lyon Data Catalog,http://catalogue.data.grandlyon.com/,Grand Lyon,Geodata catalogue for the Lyon metropolitan area.,"45.7609,4.8367",45.7609,4.8367
Graz Open Data,http://data.graz.gv.at,Stadt Graz,"Official open data portal for the city of Graz, Austria. The site runs OpenCms with CKAN as a back end; the catalogue is also exposed directly at http://ckan.data.graz.gv.at.","47.0666667,15.45",47.0666667,15.45
Guardian World Government Data,http://www.guardian.co.uk/world-government-data,The Guardian,Gateway to government datasets from around the world curated by the Guardian newspaper in the UK.,",,",,
"Guelph, Ontario",http://guelph.ca/services.cfm?itemid=78870&smocid=1550,City Of Guelph,"No license other than this disclaimer:

> The Corporation of the City of Guelph makes no guarantees, representations, or warranties respecting the data, expressed or implied, arising by law or otherwise, including but not limited to, effectiveness, completeness, accuracy, or fitness for a particular purpose.","43.550096829,-80.249670076",43.550096829,-80.249670076
"Hamilton, Ontario",http://www.hamilton.ca/projectsinitiatives/opendata/,City Of Hamilton,Uses its [own license](http://www.hamilton.ca/Policies/AcceptableUseAgreement.htm).,"43.233408354,-79.949639869",43.233408354,-79.949639869
Healthdata.gov,http://www.healthdata.gov/,Us Department Of Health And Human Services,Official portal for US government health data.,"39.76,-98.5",39.76,-98.5
Helsinki Region Infoshare,http://www.hri.fi,Forum Virium Helsinki And City Of Helsinki Urban Facts,"Helsinki Region Infoshare -datacatalogue offers open data from the Greater Helsinki region in Finland. The majority of the entries in the catalog are small static files containing statistical data about the region. These were added in the first wave when the service was set up. There is also several high quality APIs in the catalog for example from Helsinki Region Transport and Helsinki Metropolitan Area Public Libraries.

Powered by CKAN & Wordpress

Launched March 2011","51.5140107618,-0.14945268631",51.5140107618,-0.14945268631
